name,cases,deaths
br-ms,29101,458
br-mt,59841,1974
br-go,79897,1888
br-df,118000,1651
br-ma,127065,3120
br-pi,57100,1436
br-ce,185098,7893
br-rn,54106,1954
br-pb,87867,1945
br-pe,101621,6881
br-al,65276,1651
br-se,62844,1537
br-ba,186460,3811
br-ro,42725,923
br-ac,21263,552
br-am,105054,3335
br-rr,35519,538
br-pa,162822,5835
br-ap,37735,594
br-to,29539,428
br-mg,143339,3344
br-es,89375,2678
br-rj,174064,13941
br-sp,598803,24448
br-pr,88235,2248
br-sc,101000,1357
br-rs,78837,2231